"","season_info_id","season_name","diet_scat_date","diets_id","sample_num","sample_type","species","sex","location","beach_id","collection_date","collector","process_date","processor","krill_type","fish_type","squid_type","carapace_save","tag_id","tag","tag_type","primary_tag","pinniped_id","notes","created_dt"
"67",16,"2012/13",2012-12-22,67,65,"scat","Fur seal","F","Chungungo Ridge",69,2013-02-03,"JRW",2013-03-01,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 08:51:37
"68",16,"2012/13",2012-12-22,68,54,"scat","Fur seal","F","Maderas Central",101,2013-01-26,"MLZ",2013-03-01,"JRW","No","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 08:57:19
"69",16,"2012/13",2012-12-22,69,77,"scat","Fur seal","F","Chonos",58,2013-02-10,"JRW",2013-03-01,"JRW","No","Yes","No",FALSE,NA,NA,NA,NA,NA,"Actually collected on Chorros, but won't let me enter that. Location updated based on note (SMW 2020)",2013-03-02 09:00:03
"70",16,"2012/13",2012-12-22,70,69,"scat","Fur seal","F","Copi Central",81,2013-02-03,"MLZ",2013-03-01,"ANC","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"Fish eyes and scales present as well",2013-03-02 09:10:49
"71",16,"2012/13",2012-12-22,71,41,"scat","Fur seal","F","Daniel",133,2013-01-20,"DJK",2013-03-01,"DJK","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 09:20:48
"72",16,"2012/13",2012-12-22,72,66,"scat","Fur seal","F","Hue Central",74,2013-02-03,"MLZ",2013-03-01,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 09:27:38
"73",16,"2012/13",2012-12-22,73,68,"scat","Fur seal","F","Copi Ridge",82,2013-02-03,"MLZ",2013-03-01,"DJK","Yes","Yes","No",FALSE,NA,NA,NA,NA,NA,"MZG also helped process scat; no measurable krill.",2013-03-02 09:35:19
"74",16,"2012/13",2012-12-22,74,0,"scat","Fur seal","F","Cachorros Central",110,2013-01-03,"JRW",2013-02-27,"DJK","No","Yes","Yes",FALSE,NA,NA,NA,NA,NA,"7 dorsal and 9 ventral squid beaks",2013-03-02 09:46:24
"75",16,"2012/13",2012-12-22,75,15,"scat","Fur seal","F","Maderas Central",101,2012-12-29,"JRW",2013-02-27,"MLZ","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 12:05:39
"76",16,"2012/13",2012-12-22,76,13,"scat","Fur seal","F","Copi West",89,2012-12-29,"JRW",2013-02-27,"DJK","Yes","No","Yes",FALSE,NA,NA,NA,NA,NA,"2 ventral and 2 dorsal squid beaks",2013-03-02 12:11:52
"77",16,"2012/13",2012-12-22,77,6,"scat","Fur seal","F","Hue Central",74,2012-12-23,"JRW",2013-02-27,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 12:20:22
"78",16,"2012/13",2012-12-22,78,12,"scat","Fur seal","F","Daniel",133,2012-12-29,"MEG",2013-02-27,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 12:27:43
"79",16,"2012/13",2012-12-22,79,14,"scat","Fur seal","F","Hue East",75,2012-12-29,"JRW",2013-02-27,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 12:34:18
"80",16,"2012/13",2012-12-22,80,3,"scat","Fur seal","F","Chungungo East",66,2012-12-22,"MLZ",2013-02-27,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 12:39:21
"81",16,"2012/13",2012-12-22,81,27,"scat","Fur seal","F","Marko",116,2013-01-07,"MEG",2013-02-28,"JRW","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:00:17
"82",16,"2012/13",2012-12-22,82,64,"scat","Fur seal","F","Ballena Flats",50,2013-02-03,"JRW",2013-03-01,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:05:13
"83",16,"2012/13",2012-12-22,83,4,"scat","Fur seal","F","Chungungo East",66,2012-12-23,"MLZ",2013-02-27,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:13:09
"84",16,"2012/13",2012-12-22,84,1,"scat","Fur seal","F","Daniel",133,2012-12-22,"MEG",2013-02-27,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:17:25
"85",16,"2012/13",2012-12-22,85,5,"scat","Fur seal","F","Chungungo East",66,2012-12-23,"MLZ",2013-02-28,"DJK","Yes","No","Yes",FALSE,NA,NA,NA,NA,NA,"1 dorsal squid beak",2013-03-02 14:22:11
"86",16,"2012/13",2012-12-22,86,21,"scat","Fur seal","F","Hue Central",74,2013-01-05,"MLZ",2013-02-28,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:27:49
"87",16,"2012/13",2012-12-22,87,8,"scat","Fur seal","F","Copi Central",81,2012-12-24,"JRW",2013-03-01,"ANC","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:33:00
"88",16,"2012/13",2012-12-22,88,70,"scat","Fur seal","F","Maderas Ridge",104,2013-02-04,"MLZ",2013-02-04,"MLZ","No","Yes","No",FALSE,NA,NA,NA,NA,NA,NA,2013-03-02 14:38:00
"89",16,"2012/13",2012-12-22,89,62,"scat","Fur seal","F","Marko",116,2013-02-03,"DJK",2013-02-09,"JRW","No","No","No",FALSE,NA,NA,NA,NA,NA,"Brown-green fasting scat; nothing of use",2013-03-02 14:42:01
"90",16,"2012/13",2012-12-22,90,34,"scat","Fur seal","F","Hue Central",74,2013-01-13,"MLZ",2013-02-09,"JRW","No","No","No",FALSE,NA,NA,NA,NA,NA,"Brown-green fasting scat; nothing of use",2013-03-02 14:43:27
"91",16,"2012/13",2012-12-22,91,71,"scat","Fur seal","F","Chonos",58,2013-02-09,"JRW",2013-02-09,"JRW","No","Yes","Yes",FALSE,NA,NA,NA,NA,NA,"2 dorsal squid beaks",2013-03-02 14:44:40
"92",17,"2013/14",2013-12-21,93,1,"scat","Fur seal","F","Chungungo Central",62,2013-12-21,"MLM",2013-12-26,"KWP","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2014-02-05 09:16:09
"93",17,"2013/14",2013-12-21,94,2,"scat","Fur seal","F","Hue East",75,2013-12-21,"KWP",2013-12-24,"KWP","Yes","No","No",FALSE,NA,NA,NA,NA,NA,NA,2014-02-05 09:17:42
"94",17,"2013/14",2013-12-21,95,3,"scat","Fur seal","F","Hue East",75,2013-12-21,"KWP",2013-12-22,"KWP","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2014-02-11 16:56:35
"95",17,"2013/14",2013-12-21,96,4,"scat","Fur seal","F","Hue East",75,2013-12-21,"KWP",2013-12-23,"DJK","Yes","No","No",FALSE,NA,NA,NA,NA,NA,"Only 16 carapaces measured",2014-02-11 16:57:46
"96",17,"2013/14",2013-12-21,97,5,"scat","Fur seal","F","Copi Central",81,2013-12-21,"KWP",2013-12-22,"MLM","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2014-02-11 16:58:45
"97",17,"2013/14",2013-12-21,98,6,"scat","Fur seal","F","Chungungo Central",62,2013-12-23,"MLM",2013-12-23,"MLM","Yes","No","No",TRUE,NA,NA,NA,NA,NA,NA,2014-02-11 17:00:08
